Step Index,Previous Position,New Position,Distance,Unit Vector,Norm_Distance,UV
3_37,"(1.2655814072350042, 7.990566526874577, 5.877852522924732)","(1.4048432677478693, 7.967262083790821, 5.877852522924732)",0.9877861193094004,"(0.9743700647852352, -0.22495105434386486, 0.0)",0.06984702633256211,0.3
3_38,"(1.4048432677478693, 7.967262083790821, 5.877852522924732)","(1.5436771993923561, 7.941530735495743, 5.877852522924732)",0.8468135603481027,"(0.9723699203976763, -0.23344536385590609, 0.0)",0.05987876109228671,0.4
3_39,"(1.5436771993923561, 7.941530735495743, 5.877852522924732)","(1.6820409120079711, 7.913380320007295, 5.877852522924732)",0.7057765132556127,"(0.9702957262759966, -0.24192189559966773, 0.0)",0.0499059358525241,0.5
3_40,"(1.6820409120079711, 7.913380320007295, 5.877852522924732)","(1.8198922586674924, 7.882819412214738, 5.877852522924732)",0.5646857185491132,"(0.9681476403781075, -0.2503800040544425, 0.0)",0.03992931008252761,0.6
3_41,"(1.8198922586674924, 7.882819412214738, 5.877852522924732)","(1.9571892485153315, 7.849857321266634, 5.877852522924732)",0.42355192083887677,"(0.9659258262890679, -0.25881904510252235, 0.0)",0.029949643540975752,0.7
3_42,"(1.9571892485153315, 7.849857321266634, 5.877852522924732)","(2.0938900595583547, 7.8145040877351954, 5.877852522924732)",0.2823858680100202,"(0.9636304532086233, -0.26723837607825557, 0.0)",0.01996769621811346,0.8
3_43,"(2.0938900595583547, 7.8145040877351954, 5.877852522924732)","(2.2299530514052677, 7.776770480557833, 5.877852522924732)",0.14119831040401326,"(-0.8944271909999159, 0.4472135954999579, 0.0)",0.009984228277876081,0.9
3_44,"(2.2299530514052677, 7.776770480557833, 5.877852522924732)","(2.2299530514052677, 7.776770480557833, 5.877852522924732)",1.9860273225978185e-15,"(-0.8944271909999159, 0.4472135954999579, 0.0)",1.4043333874306804e-16,1.0
4_133,"(5.566703992264161, 3.213938048432734, 7.660444431189788)","(5.504160161168556, 3.0510057979815173, 7.771459614569717)",1.0131741510846257,"(0.4226182617407121, -0.906307787036644, -9.104506456758343e-15)",0.07164223127548625,0.1
4_134,"(5.504160161168556, 3.0510057979815173, 7.771459614569717)","(5.675477726922702, 3.0177050365895064, 7.660444431189788)",0.8779834266982603,"(0.2509441966533515, -0.9579001959797513, 0.13947840229927425)",0.06208280347877419,0.2
