index,act_pos,next_pos,changes
0.23,"(-0.0923668070420889, -0.10892770313979999, 0.18625559544371348)","(-0.17147355573753015, 0.02673410045801889, 0.08588974716460698)","[1.4889031528725511, -0.5640485016482972, 1.260525357680498]"
0.24,"(-0.17147355573753015, 0.02673410045801889, 0.08588974716460698)","(-0.058995149277468364, -0.11290555383019579, 0.2470345117692817)","[0.32434925725151353, 0.8558213527111923, 0.29161562852870776]"
0.25,"(-0.058995149277468364, -0.11290555383019579, 0.2470345117692817)","(-0.04547265925358877, -0.02972563793756886, 0.31017327951220547)","[0.4166955195094854, 0.009594173216428241, -0.880295781800485]"
0.26,"(-0.04547265925358877, -0.02972563793756886, 0.31017327951220547)","(0.17454179567377848, 0.022113443944752474, 0.19835796469242387)","[-1.3209847756173345, -0.4590877926191572, 0.9615531297548621]"
0.27,"(0.17454179567377848, 0.022113443944752474, 0.19835796469242387)","(-0.1714018589759499, 0.05001680055350214, 0.08367792866770782)","[1.5331533938258461, -0.7455790532781056, 0.9381067037563222]"
0.28,"(-0.1714018589759499, 0.05001680055350214, 0.08367792866770782)","(0.11892797680144848, 0.07800762262017724, 0.11201914143149513)","[-1.238448502175801, -1.4906990093824557, -1.5230350114946754]"
0.29,"(0.11892797680144848, 0.07800762262017724, 0.11201914143149513)","(0.007544968097101541, -0.0839010623671532, 0.21676805656272186)","[0.433901517263879, 1.1369376854588902, -1.4789739626903509]"
0.3,"(0.007544968097101541, -0.0839010623671532, 0.21676805656272186)","(-0.006220745973341685, -0.11550556755439977, 0.2524565072445635)","[-0.10767881258500775, 0.8602355264268474, 0.40705965728788057]"
0.31,"(-0.006220745973341685, -0.11550556755439977, 0.2524565072445635)","(-0.16278715029976257, -0.0012853598964948534, 0.25130529674444946)","[0.8222690668893489, -0.2651394554084115, 0.20896149300003364]"
0.32,"(-0.16278715029976257, -0.0012853598964948534, 0.25130529674444946)","(-0.10617925468145144, -0.012085191730264422, 0.2732536875273129)","[0.3521362948736157, -0.20370731801462247, 1.2103838477622109]"
0.33,"(-0.10617925468145144, -0.012085191730264422, 0.2732536875273129)","(0.010819064951851975, -0.12033020865451868, 0.18190964678982194)","[0.17660821904910526, 1.542981748457161, -0.4818515188499752]"
0.34,"(0.010819064951851975, -0.12033020865451868, 0.18190964678982194)","(0.06636583011172556, -0.1143353299588651, 0.23717116578872566)","[-0.6698555829552306, 0.846469138845007, 0.41713154620008064]"
0.35,"(0.06636583011172556, -0.1143353299588651, 0.23717116578872566)","(-0.10854806380497807, -0.011123635203460212, 0.3003333341129932)","[0.5603209093740577, -0.17989398924058655, -0.1950165519204907]"
0.36,"(-0.10854806380497807, -0.011123635203460212, 0.3003333341129932)","(0.15825183834469433, -0.007034880968161632, 0.2568006402659163)","[-0.9059741156821877, -0.20738760346122906, 0.25004448138388896]"
